"ID","Table"
"82","['58','8','2','46','63','94','39','20','13','95']"
"80","['100','33','72','82','28','17','88']"
"81","['64','75','44','34','41','62','90']"
"79","['32','17','74','29','77','63','60','12','9']"
"76","['96','43','6','48','77','87','51','68','31','54']"
"77","['22','76','39','41','6','80']"
"75","['22','15','46','31','51']"
"74","['6','71','37','63','96']"
"69","['4','34','44','47','72']"
"72","['58','34','97','98','57','69']"
"73","['94','76','18','1','85','39','29','64','35','96']"
"70","['47','24','66','13','66','62','66','2','18','61']"
"78","['30','82','54','85','63','64','2','94']"
"71","['35','29','31','64','53','59']"
"67","['18','85','84','74','58','74','35','19','30']"
"66","['61','18','30','63','68','26','57','11','82']"
"68","['64','90','88','58','46','14','18','41','12','45']"
"65","['79','56','22','32','76']"
"62","['75','53','4','44','79','68','95']"
"63","['70','20','6','38','17','54','4']"
"64","['45','52','29','43','54','33','67','66']"
"60","['26','74','6','88','69','50','13','11','16','31']"
"59","['29','58','27','68','65','14','28','20','60','7']"
"61","['29','10','16','62','11','63','47','82']"
"57","['10','35','61','86','58','27','89','75','12','53']"
"58","['54','12','19','63','83','17','6','57','56','23']"
"56","['6','71','69','51','76','4','49','5']"
"55","['71','26','18','31','82']"
"52","['4','2','12','42','20','77']"
"51","['27','93','54','29','1','48','84','78','36','66']"
"53","['23','74','72','45','46','81','14','52','94']"
"54","['11','21','13','88','32','12','39','89']"
"48","['100','27','12','42','10','79']"
"50","['21','25','48','3','31','43','87','29','97']"
"49","['84','74','17','38','29','11','63','31','20','37']"
"45","['68','52','35','31','73','100','54','90','58','2']"
"47","['15','73','57','79','10','10','54','21','16','74']"
"44","['80','84','56','34','43','76','55','68','93','83']"
"46","['24','9','47','60','2','8','90','7','4','79']"
"41","['10','22','62','28','100','33','87']"
"43","['65','6','37','23','57','74','24','83']"
"42","['4','81','73','69','43','45','59','72','33','48']"
"40","['61','15','12','54','86','5','73','62','89','93']"
"39","['74','44','5','42','29','31','68','56','84','75']"
"38","['7','25','32','66','51','61','22','88','53','84']"
"35","['92','82','51','7','76','34','37','45']"
"34","['63','12','83','72','15','5','49','57','30','85']"
"37","['79','72','40','80','39','34','10','48','56','87']"
"36","['71','82','44','9','41','26','76','64','61','90']"
"33","['5','19','85','74','84','47','74','58','67','57']"
"31","['1','28','83','56','69','22','46','30','52','14']"
"32","['45','29','18','14','78','88','28','94']"
"27","['43','18','90','20','71','61','20','74','39','55']"
"28","['54','66','51','82','93','89','35','55','31','12']"
"29","['16','40','13','63','55','22','75']"
"26","['74','27','82','67','47','51','48','22','60','85']"
"30","['42','55','14','64','28','10','71','26','18','74']"
"24","['41','52','73','71','85']"
"25","['53','42','91','67','9','63','54','85']"
"23","['57','56','40','37','1','58','31','80']"
"22","['31','69','14','16','37','6','61','54','42','99']"
"20","['51','63','52','17','57','23','28','48','77','12']"
"17","['2','62','48','16','69','50','12','20','40','72']"
"21","['68','27','11','36','57','40']"
"18","['54','41','55','8','62','30','40','91','10','93']"
"19","['89','10','8','3','25','2','14','28','52','59']"
"16","['90','13','33','3','10','85','37','50','63','95']"
"13","['60','82','72','74','32','12','87','28','19','89']"
"12","['16','46','52','7','43','96','3','78','45']"
"15","['72','30','5','83','10','35','76','51','89']"
"10","['2','14','88','58','18','46','62','41','61','45']"
"11","['49','58','6','5','21','40','42','16','38','62']"
"9","['11','41','71','17','64','26','76','95','7']"
"8","['22','4','23','77','28','79']"
"14","['64','12','42','33','3','67']"
"5","['63','15','65','32','51','56','81','95']"
"7","['56','58','26','72','32','59','10','45','11','96']"
"4","['5','70','12','16','6','48','20','40','50','66']"
"6","['38','46','14','52','10','17','61']"
"97","['66','7','4','57','70','46','84']"
"2","['22','78','61','95','71','29','46','50','47','59']"
"98","['3','57','30','17','20','40','58']"
"3","['14','53','31','2','45','36','41','70','9']"
"1","['81','69','76','90','30','92','44','13']"
"99","['12','80','89','66','51','35','76','49','7','75']"
"96","['45','11','52','56','56','7']"
"94","['67','8','29','100','17','62','93']"
"95","['62','91','13','18','97']"
"100","['36','11','5','58','16','42','49','62','21','15']"
"93","['17','29','67','100','8']"
"92","['15','74','63','6','37','96','71','48','93','4']"
"90","['44','61','82','36','9']"
"91","['18','29','53','7','67','9','41','1','60','37']"
"87","['10','33','34','72','39','37','80']"
"86","['93','62','100','17','29','8','67','60','26','94']"
"88","['17','82','100','33','28','72','80','74']"
"85","['67','54','9','63','91']"
"89","['51','30','35','10','15','76']"
"83","['65','37','24','23','57','43','74']"
"81","['11','61','46','18','72','30','94','57','44','64']"
"80","['56','1','40','37','31','23','58']"
"82","['18','26','31','55','71']"
"84","['4','57','66','70','46','97']"
"79","['22','28','23','77']"
"78","['82','88','50','69','74','54','64','2','85','94']"
"77","['60','12','4','2','20','42','52','69']"
"75","['35','49','51','66','12','76','80']"
"73","['18','85','39','71','63','37','87','74','35','96']"
"72","['50','2','40','12','48','17','97']"
"76","['11','22','56','32','79','65','88']"
"74","['10','14','18','64','55','30','71']"
"67","['14','12','33','42','3','71']"
"71","['7','27','14','20','68','60','28','53','35','59']"
"69","['4','34','44','72','58','98','97','57','47']"
"70","['46','7','43','56','45','33','16','63','10','66']"
"66","['50','48','16','40','5','6']"
"68","['90','14','41','31','35','52','73','2','100','45']"
"65","['39','89','21','12','96','13','87','68','22','76']"
"64","['54','94','94','91','55','39','97','90','52','67']"
"61","['14','46','10','38','17','52']"
"59","['61','71','47','78','29','95']"
"62","['58','2','40','49','38','16','21','11','6']"
"63","['5','48','40','50','66','16','12','38','17','4']"
"60","['69','50','56','52','1','22','28','46','14','13']"
"57","['72','81','47','58','19','67','33','85']"
"58","['1','20','17','3','57','30','98','83']"
"56","['5','15','95','63','81','32','65','6','49','76']"
"53","['58','35','75','61','10','57','54','89']"
"52","['86','45','48','80','22','17','50','26','12','77']"
"54","['48','43','6','31','51','76','77']"
"51","['22','46','15','31','52','43','75']"
"55","['29','11','20','43','74','27','90']"
"50","['3','66','84','7','46','57','4','70','29','43']"
"49","['74','29','87','72','10','39','48','40','80','84']"
"45","['18','14','41','2','61','62']"
"48","['74','72','81','4','43','33','45','42','84']"
"44","['56','43','28','77','23','79','4','22','69','76']"
"47","['79','10','54','94','93','8','67','92','100','16']"
"46","['47','79','42','10','27','100','17','32','12','9']"
"43","['6','80','44','84','68','93','30','41','34','65']"
"41","['60','7','45','56','11','51','96','56','100','28']"
"40","['12','36','68','11','57','27','21','61']"
"39","['31','56','48','66','54','36','46','22','68','44']"
"42","['69','59','67','71','27','100','53','77','63','73']"
"37","['20','38','31','11','17','49','41','52','63']"
"38","['32','61','54','1','11','5','93','43','36','66']"
"36","['26','76','81','68','34','63','75','62','9','71']"
"35","['46','95','18','54','88','12','64','76','51','92']"
"34","['15','49','66','47','66','62','70','13','24','5']"
"32","['45','29','18','14','78','28','94','46','74','88']"
"33","['84','74','52','94','12','27','46','86','23','5']"
"30","['84','85','19','67','57','15','42']"
"27","['20','39','55','10','31','47','26','82','20','43']"
"31","['16','26','74','88','11','6','60','3','69']"
"28","['51','35','7','45','96','3','43','52','16','54']"
"29","['1','68','5','39','74','27','42','40','22','63']"
"26","['47','22','66','57','34','63','3','72','30','74']"
"24","['26','82','51','27','66','67','48','60','52','85']"
"23","['6','54','17','19','63']"
"22","['61','42','35','49','51','75','7','89','66','69']"
"21","['32','23','91','92','22','50','84','86','36','40']"
"25","['53','24','52','73','41','71','67','54','9','91']"
"19","['10','3','35','53','26','71','64','31','72','89']"
"20","['17','28','93','82','66','31','78','89','55','57']"
"18","['54','62','73','89','5','15','40','41','30','91']"
"17","['16','20','98','4','34','47','57','44','58','62']"
"16","['33','10','53','62','79','68','75','4','44','85']"
"14","['52','28','30','46','22','56','31','83']"
"12","['48','51','63','23','20','35','77']"
"15","['5','83','74','12','60','19','87','72','76','89']"
"13","['11','39','76','90','44','30','81','1','92']"
"10","['58','46','52','3','16','43','12','96','18','88']"
"11","['1','53','68','45','54','31','100','46','39','82']"
"9","['36','2','41','45','31','70']"
"7","['56','52','56','45','11','96']"
"8","['55','69','41','30','54','14','83']"
"4","['38','17','54','63','36','70']"
"5","['6','49','4','69','71','76']"
"6","['18','70','2','24','66','13','14','46','10','52']"
"3","['14','53','12','79','63','29','74','96','36','9']"
"2","['46','68','31','58','90','100','52','45','50']"
"97","['18','13','91','62','95']"
"98","['54','12','73','86','5','89','93']"
"1","['69','88','40','21','89','32','82','20','28','76']"
"99","['54','16','37','31','14','6','22','13','63']"
"94","['18','78','41','88']"
"95","['65','51','15','56','5','81']"
"96","['58','72','26','71','9']"
"100","['21','15','87','60','74','12','76','72','19','42']"
"93","['69','86','5','89','12','73','98','17']"
"92","['39','90','44','30','11','13','95']"
"91","['54','5','30','18','62']"
"90","['41','29','11','20','27','43','74','55','9']"
"89","['76','72','5','60','83']"
"86","['93','8','94','18','78','88','41','100','26','60']"
"88","['78','41','94']"
"87","['40','58','23','31','1','56','10','37','34','39']"
"84","['49','45','43','33','4','42','81']"
"85","['26','68','4','75','44','33','53','16','79']"
"83","['30','54','69','55','41','8']"
"81","['39','54','15','51','65','5','56','95']"
"80","['35','51','12','49','66','76']"
"82","['14','28','46','39','54','1','53','11','68']"
"76","['32','40','21','20','69']"
"77","['48','20','23','63']"
"79","['60','42','20','69','52','2','4','12','23','77']"
"78","['54','94','60','29','86','26','62','17','67','64']"
"75","['33','34','46','15','31','43','22','52']"
"74","['3','34','47','66','63','26','72']"
"70","['54','38','17','4','63']"
"73","['72','69','53','59','100','27','67','77','42','96']"
"69","['7','35','49','61','51','22','89']"
"67","['3','90','54','55','94','91','52','42']"
"71","['63','34','68','76','9']"
"72","['4','84','57','66','70','46','50','17','12','97']"
"65","['30','84','44','34','6','43','39']"
"66","['5','36','61','11','54','93']"
"68","['41','31','35','62','18','61','73','2','100','90']"
"64","['61','18','46','30','57','11','81','10','97']"
"63","['31','16','14','22','37']"
"61","['77','36','27','57','11','68','21','40','14']"
"60","['1','13','76','81','11','30','90','44','92','46']"
"62","['16','44','20','58','34','17','98']"
"59","['28','60','27','68','20','7']"
"57","['60','55','78','82','66','93','89','67']"
"52","['66','18','2','6','70']"
"56","['95','63','65','68','13','21','96','87','12','49']"
"55","['44','70','36','82','45','31','61','2','11','29']"
"58","['23','31','56','37','40','80']"
"53","['61','88','51','65','30','11','56','15','22','75']"
"51","['87','10','49','12','72','35','39','46','15','75']"
"54","['45','52','3','35','28','31']"
"45","['73','100','52','68','90']"
"49","['39','40','18','95','62','57','13','4','97','74']"
"50","['41','30','31','45','68','52','58','2','90']"
"48","['84','87','10','70','46','80','29','45','43','74']"
"46","['42','12','90','44','36','61','70','41','31','79']"
"47","['97','44','58','57','4','34','69','53','33','98']"
"44","['49','22','46','56','66','48','31','39','79']"
"43","['4','39','10','26','20','20','27','47']"
"41","['7','51','56','16','35','52','3','54','96','28']"
"42","['73','19','15','85','67','84','57','30','69']"
"40","['80','32','84','23','92','91','21','27']"
"38","['1','43','7','33','46','10','70','5','36','32']"
"39","['54','36','15','5','6','32','4','43','81','68']"
"37","['7','53','67','29','9','15','91']"
"36","['75','62','33','42','67','12','3','63','34','81']"
"35","['46','92','63','36','96','6','38','93','70','64']"
"34","['66','62','24','76','4','6','69','71','15','49']"
"32","['28','94','74','56','79','65','10','76','22','88']"
"31","['3','69','52','42','72','2','77','20','6','88']"
"33","['94','46','70','66','47','13','34','66','15','74']"
"30","['9','71','37','35','26','58','63','87','15','19']"
"27","['55','31','82','3','50','80','29','70','66','20']"
"28","['56','60','100','11','41','48','76']"
"29","['39','63','71','52','20','11','17','92','41','42']"
"24","['27','67','58','72','81','33','19','91','38','82']"
"25","['67','54','11','85','49','24','41','52','73','9']"
"26","['57','30','83','23','65','37','24','43','3','22']"
"21","['50','40','45','12','38','17','32','84','23','86']"
"23","['27','29','22','68','5','40','74','1','17','63']"
"22","['75','66','26','31','6','11','88','16','74','42']"
"20","['17','28','31','63','1','54','85','18','55','57']"
"18","['89','15','40','53','52','24','71','54','41','91']"
"19","['26','72','32','57','79','54','58','75','31','3']"
"17","['18','5','12','69','98','89','73','93','47']"
"16","['85','100','8','94','67','47','62']"
"14","['28','43','1','57','58','88','98','20','22','31']"
"10","['16','43','96','45','29','14','11','78','3','18']"
"15","['58','36','16','11','62','49','100','31','89']"
"12","['48','51','23','20','35','77','43','31','76','63']"
"13","['56','50','14','69','52','28','22','60','1']"
"9","['72','58','71','26','96']"
"11","['31','100','27','60','20','55','59','35','7','45']"
