"ID","Table"
"84","['35','13','30','62','42','1','78']"
"80","['77','58','11','61','25','52','41','79','90','100','15','1','83','67','87']"
"78","['23','92','71','65','55','58','67','5','17','48','27','30','20','97']"
"77","['18','20','1','99','90','72','21','32','4','79','2','40','81','61','55']""75","['56','99','83','8','69','40','1','12','90','3','24','57','63','14','5','70','71','32']"
"76","['22','28','90','60','9','21','80','92']"
"73","['91','99','84','1','11','85','38','36','20','30','19','60','50','41','35']""72","['46','5','14','33','28','14','56','69','32','84','12','7','66','48','77','53','30','20','3','62']""74","['49','69','18','35','24','2','2','2','68','36','71','73','5','71','11','72','34','44','66','91']""70","['37','35','23','15','24','45','75','71','86','85','88','38','67','5','57','41','58','11','30','53']"
"71","['95','97','9','72','52','67','70','35','60','80','20']"
"68","['64','27','2','42','92','56','4','94','47','28','39','65','29','77','16','10','1','86']""69","['42','2','8','60','26','71','100','70','79','30','68','64','63','37','10','22','18']"
"67","['4','12','31','69','21','16','34','3','40','2','42','80']"
"66","['72','70','32','7','42','22','100','37','30','28','34','40','90']"
"65","['20','72','16','51','41','80','91','96','5','14','100','42','95']"
"64","['2','93','51','5','7','71','83','48','7','75','37','3','96','17','13','90','100','30','97']""63","['72','61','98','94','95','91','74','37','29','43','22','57','35','25','46','2','9','44','71','99']""62","['89','32','13','5','74','85','49','3','31','4','26','50','41','22','93']""61","['53','21','54','18','87','14','81','48','62','27','39','79','29','34','26','60','67','41','11','6']""59","['39','5','47','60','79','19','46','3','9','66','50','20','16','52','73','13','7','70','44']""60","['28','63','70','95','93','98','71','67','13','7','32','12','52','85','76','90','2','89','96','43']""58","['56','32','19','38','93','98','100','50','87','17','86','30','55','14','24','20','41','63','25']""57","['55','48','16','44','71','59','52','15','84','22','23','34','84','26','86','81','41','50','30','84']""56","['73','97','95','93','32','99','94','89','56','10','38','27','39','70','43','17','20','12','33','47']"
"55","['30','81','40','18','72','77','90','50','70','99']"
"54","['28','77','43','6','71','72','77','85','50','16','11','24','85','90','32','20','31','70','7','79']""53","['33','16','54','92','100','46','97','89','49','83','39','29','32','30','15','81','11','51','37']""51","['13','33','53','68','27','5','50','44','78','38','20','56','73','21','71','98','55','14','97','45']""52","['25','74','55','98','92','3','43','35','38','11','26','60','100','80','88','30','1','48']""50","['38','84','37','23','85','27','23','44','35','61','29','12','62','58','70','11','63','75','66','45']""49","['2','14','43','72','50','78','29','65','64','46','67','23','48','33','96','32','30','43']""48","['42','25','34','23','77','6','13','33','44','58','53','1','76','81','2','67','79','99','90','59']""47","['53','59','45','36','8','2','69','65','34','9','24','14','48','5','95','35','40','52','54','7']""46","['31','47','29','5','5','13','77','50','67','9','22','70','49','63','88','26','95','74','40','75']""45","['34','14','78','82','37','41','43','24','59','11','30','28','87','46','22','23','81','83','20','82']""43","['87','94','71','72','90','79','44','100','97','99','91','92','96','89','8','38']"
"44","['64','96','69','92','93','99','94','91','5','81','7','17','97']"
"42","['58','6','37','74','70','16','27','73','40','85','81','91','11','36','100','90','66']""40","['47','83','83','3','35','24','53','18','85','88','22','51','19','1','31','11','45','57','65','84']""41","['16','54','42','88','70','72','22','42','40','81','35','77','48','80','15','49','60','58','20','56']""39","['27','43','40','74','87','47','81','35','79','89','98','91','98','61','69','53','38','8','52','55']""36","['92','99','89','97','96','53','43','19','82','76','10','67','86','47','49','59','68','35','78','12']"
"38","['10','11','12','80']"
"37","['36','85','43','82','20','90','78','21','44','98','33','100','96','22','25','60','49']"
"35","['27','11','66','92','97','93','99','98','100','91','90','54']"
