"ID","Table"
"56","['100','90','82','81','86','79','88','100','95','92']"
"55","['95','96','89','79','78','84','93','87','99']"
"54","['94','80','85','76','92','73','91','99']"
"53","['11','39','8']"
"52","['84','73','82','77','84','98','88']"
"51","['14','34','49','5']"
"50","['34','74','75','73','99','80','77']"
"48","['25','1','10','32','46','42','17','29','65']"
"47","['67','8','15','29','32','11','39','5','36','53']"
"49","['79','86','81','82','84','87','73','96','92','88']"
"46","['89','84','79','78','83','99','93','90']"
"45","['77','83','80','91','84','73','87','92','98','99']"
"38","['84','80','95','87','74','90','99']"
"44","['96','79','92','97','81','94','98']"
"33","['100','83','88','83','90']"
"43","['12','31','22','60','30','50','48','21','29','36']"
"42","['97','89','83','84','90','74','80','98']"
"37","['76','80','96','93','94','94','97']"
"41","['85','81','92','75','91','95','94']"
"40","['77','75','100','97','89','95','99']"
"39","['95','83','90','100','98','97','96']"
"34","['80','81','73','86','100','97','97']"
"36","['97','93','20','2','10','89','62','76','73','44']"
"35","['82','84','75','83','78','85']"
"32","['93','73','88','89','86','76','97']"
"31","['88','92','86','79','74','82','77','75','82','94']"
"30","['87','81','78','84','91','89']"
"29","['63','73','75','85','94','81','97','99','86','65']"
"27","['74','92','90','88','95','87','80']"
"28","['69','78','51','91','1','95','92']"
"26","['94','87','96','82','84','92','93','97']"
"25","['85','82','90','89','88','86']"
"24","['95','94','96','73','76','87','75','85','79','98']"
"23","['25','29','57','2','16','41','1','31','10','69']"
"22","['20','75','84','83','77','85','100','80','91','94']"
"20","['97','99','83','79','95','78','30','3','58','59']"
"19","['13','90','82','93','100','89','83','94','73','51']"
"18","['80','75','92','86','82','97']"
"21","['49','43','59','50','18','34','39','32','64']"
"17","['84','83','95','81','73','86','99']"
"16","['83','87','88','74','91','76','96']"
"15","['79','80','82','75','84','83']"
"14","['84','61','2','89','80','27','6','97','78','96']"
"12","['79','76','85','82','100','92','99','98','95','94']"
"13","['82','31','28','74','16','95','82']"
"11","['100','84','78','86','76','83','81','95','94','90']"
"10","['81','91','73','78','97','95','75','83','85','98']"
"9","['33','7','61','4','27','20','50','14','67','70']"
"8","['39','11','53']"
"7","['80','61','78','40','83','37','4','45','88','84']"
"6","['1','58']"
"5","['14','34','49','51']"
"2","['94','87','96','92','91','74','74','98']"
"3","['86','76','90','72','93','92']"
"4","['78','90','77','86','82','79','97','96']"
"1","['77','98','82','79','75','69','78','83','89','88']"
"72","['89','100','42','74','73','98','77','96','86','86']"
"71","['79','77','88','100','90','85','74','90','97','94']"
"69","['16','2','29','31']"
"70","['80','94','100','74','98']"
"67","['79','67','100','57','84','82']"
"68","['73','100','86','76','74','97','87']"
"65","['86','85','81','75','73','97','99']"
"66","['83','88','80','91','82','100','86','1','14','26']"
"64","['18','43','34','50','39','32','49','21','59']"
"62","['44','20','20','2','70']"
"63","['73','88','94','74','95','96']"
"60","['87','74','90','76','81','80','94','99']"
"61","['94','90','86','98','92','99','10','14','59','7']"
"56","['78','77','99','91','73','83','100']"
"59","['88','74','82','85','86','98']"
"55","['80','100','83','77','74','91']"
"58","['6']"
"53","['39','67','11','8']"
"57","['85','74','91','73','93','81','84','82','95','90']"
"52","['73','82','77','84','98','88','84']"
"54","['80','85','76','92','73','91','99','94']"
"51","['34','14','49','5']"
"50","['34','74','73','99','80','77','75']"
"48","['92','79','86','88','84','93']"
"49","['79','86','81','82','84','73','96','92','88','87']"
"47","['53','25','55','42','27','36','29','67','8','39']"
"46","['74','81','73','86','75','80','95']"
"45","['79','82','77','92','74','89','96']"
"44","['100','82','91','95','90','96','74','97']"
"39","['83','90','100','98','97','96','95']"
"43","['62','93','10','2','20','73','89','44','97','48']"
"38","['84','80','87','74','90','99','95']"
"42","['95','93','86','100','85','88','100','96']"
"37","['100','90','89','92','75','74','86','98','92','94']"
"41","['80','86','78','79','88','93','100','76','96']"
"36","['12','29','31','22','30','50','21','43','60']"
"40","['76','92','96','78','90','73','94','93','98']"
"35","['82','75','83','78','85','84']"
"34","['80','81','73','86','100','97','97']"
"33","['78','76','84','73','96','77','97']"
"32","['73','88','89','86','76','97','93']"
"26","['83','14','86','1','100','80','66','91']"
"27","['84','94','98','73','88','81','80','99']"
"31","['29','16','2','69']"
"30","['81','78','84','91','89','87']"
"25","['82','90','89','88','86','85']"
"24","['95','94','73','76','87','75','85','79','98','96']"
"28","['69','78','51','1','95','92','91']"
"22","['76','88','93','98','97','86','99']"
"29","['46','10','25','32','17','48','86','85','99','63']"
"23","['25','20','48','62','35','16','2','31','29','69']"
"20","['58','86','48','52','3','99','78','83','95','59']"
"21","['75','82','81','83','87','84','18','43','34','50']"
"18","['80','75','86','82','97','92']"
"14","['84','61','2','80','27','6','97','78','96','89']"
"15","['86','96','88','100','91','88','97']"
"19","['76','88','92','5','87','97','86','75','83','89']"
"17","['82','100','74','91','87','76','82','97']"
"12","['79','76','85','82','100','99','98','95','94','92']"
"13","['31','28','74','16','95','82','82']"
"16","['83','87','88','74','76','96','91']"
"11","['100','84','78','76','83','81','95','94','90','86']"
"6","['58']"
"10","['81','91','73','78','95','75','83','85','98','97']"
"9","['100','90','95','75','84','96','87','88','81','97']"
"8","['11','53','67','39']"
"5","['49']"
"7","['86','98','90','10','59','14','92','99']"
"4","['78','77','86','82','79','97','96','90']"
"3","['86','76','72','93','92','90']"
