"ID","Table"
"68","['81','96','94','71','74','90','89','77','73']""67","['85','77','97','74','80','78']"
"66","['83','95','78','74','91','99','87','85']""65","['71','74','71','86','91','87']"
"63","['96','93','75','91','92','89','78','73']""64","['81','95','96','77','83','97','89','99']"
"61","['100','72','99','93','90','81']""62","['74','81','92','89','95','84','78']"
"60","['74','78','94','97','86','81','85']""58","['88','95','81','97','99','76','94','72','71','96']"
"57","['78','71','89','83','92','73','79']""59","['73','83','85','72','98','97','96','75']"
"56","['95','80','98','94','84','77']""55","['85','78','99','75','77','76','91','79']"
"54","['71','95','90','97','85','92','73','87']""52","['85','90','79','99','84','81','76']"
"53","['81','82','92','84','74','97','83','85','76','86']""51","['82','92','91','94','88','85','78','87','96']"
"49","['72','74','90']""50","['77','71','87','87','84','81','96','86']"
"48","['92','90','84','100','75']""46","['85','84','71','98','88','74','93','82']"
"47","['91','83','87','82','81','78','95','96','92']""45","['93','78','77','74','92','76','88']"
"44","['73','76','80','81','72','92','91','87','74','83']""43","['100','88','71']"
"42","['85','80','71','76','96','100','99','74','94']""41","['78','81','90','77','88','71']"
"39","['97','93','72','90','91','83']""40","['77','85','100','90','83','97','88','78','98','91']"
"37","['98','88','85','77','97','96','75','80','100','100']""38","['91','90','72','79','75','78','82','96']"
"36","['76','92','74','93','87','85']""35","['88','86','78','84','92','99']"
"34","['75','77','89','79','86','93']""33","['80','77','98','88','76','76','97']"
"32","['72','75','83','98','91','94','84','77']""31","['71','75','85','72','72','89']"
"30","['75','76','74','81','87','83']""28","['75','76','91','95','87','72','84']"
"29","['82','81','71','96','95','92','91','83','74','88']""26","['90','89','92','84','88','100','97']"
"27","['93','90','89','87','72','80']""25","['92','83','98','78','81','75','93']"
"24","['85','78','79','75','75','98','71','96']""23","['77','84','73','73','76','72','87']"
"20","['72','95','96','80','94','78','99']""22","['100','75','87','72','96','91','86','83','74','95']"
"21","['82','78','77','86','76','72','77','75','99','96']""17","['89','99','93','74','87','71','77','83','85']"
"19","['91','93','80','71','86','74','97','95']""13","['99','88','73','72']"
"15","['99','92','80','76','94','83','90','89','79','73']""18","['72','14','95','88','74','87','100','71','86','76']"
"16","['83','77','82','77','85']""14","['100','84','77','71','18']"
"12","['71','74','82','83','98','75','94','79','79']""11","['71','74','75','77','99','83','91','90']"
"10","['87','77','72','74','73','95']""3","['78','94','92','100','96','80','76','72']"
"1","['100','81','93','99','92','85']""5","['74','87','83','78','76','73']"
"9","['92','88','81','76','87','100','85','93']""8","['80','98','97','89','93','71','88','85','77','84']"
"4","['93','77','98','96','74','72']""2","['71','78','75','86','94','85']"
"6","['83','97','90','73','81','91','88','92','87','74']""7","['76','85','78','75','75','100','82','79','89','92']"
"70","['95','75','74','86','73','98']""69","['78','98','94','86','88','81','76','85']"
"68","['94','90','77','84','92','95','75','96']""65","['71','71','86','91','87','74']"
"64","['73','100','90','86','93','80','95']""67","['77','97','74','80','78','89','94','79','93','85']"
"66","['83','78','74','91','99','87','85','95']""63","['93','75','91','92','89','78','73','96']"
"62","['74','81','89','95','84','78','92']""60","['74','78','94','86','81','85','97']"
"61","['99','93','90','74','87','76','71','100']""59","['83','85','72','98','97','96','75','73']"
"57","['71','89','83','92','73','79','78']""56","['95','80','94','84','77','98']"
"58","['88','81','97','99','76','94','72','71','96','95']""55","['85','78','75','77','76','91','79','99']"
"54","['95','90','97','85','92','73','87','71']""53","['81','82','84','74','97','83','85','76','86','92']"
"52","['85','79','99','84','81','76','90']""51","['82','91','94','88','85','78','87','96','92']"
"50","['96','97','89','94','82','81']""49","['72','90','98','81','78','95','75','77','74']"
"48","['90','84','100','75','97','98','80','96','92']""46","['98','88','83','92','86','85']"
"45","['74','94','73','97','82','93']""47","['83','87','82','81','78','95','96','92','91']"
"43","['72','83','81','78','81','100']""42","['85','80','71','76','100','99','74','94','96']"
"41","['78','81','77','88','71','90']""44","['76','72','92','91','77','78','90','84','80']"
"39","['90','92','88','82','72','72','91']""40","['77','100','90','83','97','88','78','98','91','85']"
"38","['90','72','79','75','78','82','96','91']""36","['92','74','93','87','85','91','79','76']"
"37","['88','85','77','97','96','75','80','100','100','98']""35","['86','78','84','92','99','88']"
"34","['75','77','79','86','93','89']""33","['77','98','88','76','76','97','80']"
"32","['72','75','83','91','94','84','77','98']""31","['71','86','99','88','76','93','74','75']"
"30","['76','74','81','87','83','75']""28","['76','91','95','87','72','84','75']"
"27","['90','89','87','72','80','93']""26","['90','89','84','88','100','97','92']"
"25","['83','98','78','81','75','93','92']""29","['81','71','96','95','92','91','83','74','88','82']"
"24","['78','79','75','75','98','71','96','85']""23","['80','83','84','77','73','95']"
"22","['100','75','72','96','91','86','83','74','95','87']""19","['93','80','71','86','74','97','95','91']"
"20","['72','95','80','94','78','99','96']""18","['14','88','74','86','77','84','95']"
"21","['78','77','86','76','72','77','75','99','96','82']""17","['99','93','74','87','71','77','83','85','89']"
"16","['77','82','77','85','95','98','96','78','100','83']""15","['92','80','76','94','83','90','89','79','73','99']"
"14","['84','77','71','18','87','72','76','100']""13","['88','73','72','86','79','100','91','92','99']"
"12","['98','75','93','91','87','74']""11","['91','90','82','85','97','85','74']"
"9","['88','81','76','87','100','85','93','92']""8","['98','97','89','93','71','88','85','77','84','80']"
"6","['83','90','73','81','91','88','92','87','74','97']""10","['77','72','74','73','95','87']"
"7","['76','78','75','75','100','82','79','89','92','85']""4","['77','98','96','74','72','93']"
"5","['87','83','78','76','73','74']""3","['94','92','100','96','80','76','72','78']"
"1","['81','93','99','92','85','100']""2","['71','75','86','94','85','78']"
"70","['75','74','86','73','98','95']""69","['98','94','86','88','81','76','85','78']"
"68","['90','77','84','92','95','75','96','94']""67","['77','74','80','78','89','94','79','93','85','97']"
"66","['78','74','91','99','87','85','95','83']""65","['91','95','82','97','89','80','71']"
"64","['73','100','90','86','80','95','93']""63","['78','73','98','97','90','73','91']"
"62","['74','81','95','84','78','92','89']""61","['93','90','74','87','76','71','100','99']"
"60","['81','96','79','82','100','94']""41","['78','81','77','71','90','88']"
"59","['75','73','76','74','82','93','97']""58","['81','97','99','76','94','72','71','96','95','88']"
"57","['71','89','83','73','79','78','90','76','85','92']""55","['77','76','95','93','83','98','75']"
"56","['80','94','84','77','98','95']""54","['90','97','85','92','73','87','71','95']"
"52","['79','99','84','81','76','90','85']""53","['74','85','76','86','100','99','79','99','81']"
"50","['97','89','94','82','81','78','100','91','79','96']""49","['90','98','81','78','95','75','77','74','72']"
"51","['91','94','88','85','78','87','96','92','82']""48","['84','100','75','97','98','80','96','92','90']"
"47","['87','82','81','78','95','96','92','91','83']""46","['81','85','77','76','98']"
"45","['94','73','97','82','93','83','96','78','86','74']""43","['72','81','78','81','100','83']"
"44","['72','92','91','77','78','90','84','80','76']""42","['79','89','88','77','80']"
"40","['100','90','83','97','88','78','98','91','85','77']""39","['92','88','82','72','72','91','90']"
"38","['72','79','75','78','82','96','91','90']""37","['85','77','97','96','75','80','100','100','98','88']"
"36","['87','91','86','75','96','77','89','92']""35","['78','84','92','99','88','96','85','76','86']"
"34","['75','77','86','93','89','100','88','91','83','79']""32","['72','75','85','90','92','91']"
"31","['76','93','97','84','92','94','99']""33","['98','88','76','76','97','80','77']"
"30","['74','81','87','83','75','76']""28","['84','71','96','80','78','76']"
"29","['71','96','95','92','91','83','74','88','82','81']""22","['100','72','96','91','86','83','74','95','87','75']"
"21","['77','86','76','72','77','75','99','96','82','78']""13","['73','72','86','79','100','91','92','99','88']"
"9","['81','76','87','100','85','93','92','88']""20","['72','80','94','78','99','96','95']"
"7","['76','75','75','100','82','79','89','92','85','78']""5","['83','78','76','73','74','91','77','82','71','87']"
"19","['95','91','92','88','90','74']""4","['98','96','74','72','93','77']"
"1","['93','92','100','71','86','73','82','99']""18","['77','80','94','93','72','74']"
"17","['74','77','85','82','90','91','75','99']""14","['77','71','18','87','72','76','100','84']"
"12","['75','93','91','87','74','98']""11","['90','82','85','97','85','74','91']"
"15","['76','90','89','79','81','98','97','75','94']""10","['72','74','73','95','87','77']"
"8","['97','89','93','71','88','85','77','84','80','98']""3","['92','100','96','80','76','72','78','94']"
"2","['71','86','94','85','78','75']""6","['83','73','81','91','88','92','87','74','97','90']"
"16","['96','78','100','83','73','93','74','72','77']""27","['89','87','72','80','93','71','98','83','74','90']"
"25","['98','78','81','75','93','92','83']""26","['88','86','75','71','77','96','89']"
"24","['78','75','75','98','71','96','85','79']""23","['80','83','77','73','95','88','79','100','93','84']"
"70","['75','74','73','98','95','86']""69","['72','74','93','82','91','81']"
"68","['77','84','92','95','75','96','94','90']""67","['77','74','78','89','94','79','93','85','97','80']"
"65","['95','82','97','89','80','71','91']""66","['74','91','99','87','85','95','83','78']"
"64","['95','96','94','97','78','100']""63","['73','98','97','90','73','91','74','84','78']"
"61","['74','87','91','78','89','85','90']""62","['74','95','84','78','92','89','97','73','79','81']"
"60","['100','94','78','93','88','92','73','89','96']""59","['73','76','74','82','93','97','75']"
"58","['76','72','71','96','73','77','94','94']""56","['80','84','77','98','95','94']"
"57","['71','83','73','79','78','90','76','85','92','89']""55","['76','95','93','83','98','75','77']"
"54","['97','85','92','73','87','71','95','90']""53","['74','76','86','100','99','79','99','81','85']"
"51","['91','88','85','78','87','96','92','82','94']""52","['99','84','81','76','90','85','79']"
"50","['89','94','82','81','78','100','91','79','96','97']""49","['90','81','78','95','75','77','74','72','98']"
"47","['82','81','78','95','96','92','91','83','87']""48","['100','75','97','98','80','96','92','90','84']"
"46","['81','77','76','98','85']""45","['82','96','78','86','71','77','71','97']"
"44","['77','78','84','73','89','95','73','90']""43","['72','78','81','100','83','81']"
"42","['79','88','84','78','97','89']""41","['78','77','71','90','88','76','79','91','97','81']"
"40","['83','78','98','77','96','71','81','99','90']""39","['88','82','72','72','91','90','92']"
"37","['77','97','96','75','80','100','100','98','88','85']""38","['79','82','83','86','81','76','86','72']"
"36","['91','86','75','96','77','89','92','87']""33","['88','76','76','97','80','77','98']"
"34","['75','86','93','89','100','88','91','83','79','77']""35","['78','84','99','88','96','85','76','86','92']"
"32","['72','85','90','92','91','75']""31","['76','97','84','92','94','99','93']"
"29","['96','95','92','91','83','74','88','82','81','71']""30","['81','87','83','75','76','74']"
"26","['86','75','71','77','96','89','88']""28","['71','96','80','78','76','84']"
"27","['87','72','80','93','71','98','83','74','90','89']""25","['78','81','75','93','92','83','98']"
"23","['80','77','73','95','88','79','100','93','84','83']""24","['75','75','98','71','96','85','79','78']"
"22","['100','96','91','86','83','74','95','87','75','72']""21","['77','76','72','77','75','99','96','82','78','86']"
"20","['94','93','89','77','92','81','80']""19","['98','81','76','79','84','92']"
"18","['80','94','93','72','74','77']""17","['74','85','82','90','91','75','99','77']"
"15","['76','89','79','81','98','97','75','94','90']""16","['78','100','83','73','93','74','72','77','96']"
"14","['100','84','89','88','82','82','72']""13","['72','86','79','100','91','92','99','88','73']"
"11","['90','82','85','85','74','91','97']""10","['74','73','95','87','77','72']"
"12","['93','91','87','74','98','81','77','82','86','75']""9","['76','87','100','85','93','92','88','81']"
"8","['77','84','90','96','95','89','87','72','71']""6","['73','81','91','88','92','87','74','97','90','83']"
"7","['75','75','100','82','79','89','92','85','78','76']""3","['92','100','80','76','72','78','94','96']"
"5","['78','76','73','74','91','77','82','71','87','83']""4","['96','74','72','93','77','75','73','90','76','98']"
"2","['86','94','85','78','75','71']""1","['92','100','71','86','73','82','99','93']"
"70","['94','100','79','89','90','75']""69","['72','74','82','91','81','77','95','73','78','93']"
"68","['84','92','95','75','96','94','90','77']""67","['74','78','89','94','79','93','85','97','80','77']"
"66","['74','91','87','85','95','83','78','99']""65","['95','82','89','80','71','91','97']"
"64","['96','94','97','78','100','87','73','83','72','95']""63","['98','97','90','73','91','74','84','78','73']"
"62","['81','85','100','75','96','79']""61","['74','91','78','89','85','90','87']"
"59","['73','76','74','82','97','75','93']""60","['94','92','73','83','87','76','86','77','100']"
"58","['72','71','96','73','77','94','94','76']""12","['91','87','74','98','81','77','82','86','75','93']"
"11","['82','85','85','74','91','97','90']""10","['73','95','87','77','72','74']"
"9","['87','100','85','93','92','88','81','76']""57","['73','79','78','76','72','97','98','82','82','83']"
"6","['88','92','74','90','99','76','91']""7","['75','100','82','79','89','92','85','78','76','75']"
"56","['80','77','98','95','94','84']""8","['84','90','96','95','89','87','72','71','77']"
"5","['76','73','74','91','77','82','71','87','83','78']""3","['100','80','76','72','78','94','96','92']"
"55","['93','94','74','99','72','94','76']""4","['74','72','93','77','75','73','90','76','98','96']"
"2","['94','85','78','75','71','86']""1","['100','71','86','73','82','99','93','92']"
"54","['85','92','73','87','71','95','90','97']""53","['74','86','100','99','79','99','81','85','76']"
"52","['84','81','76','90','85','79','99']""51","['85','78','96','90','75','86','83','88']"
"50","['89','82','81','78','100','91','79','96','97','94']""49","['75','85','79','87','84','80','80','81']"
"48","['75','96','92','76','87','72','88','100']""47","['81','78','95','96','92','91','83','87','82']"
"45","['77','71','94','100','90','74','89','78']""46","['77','76','98','85','71','75','72','99','81']"
"43","['88','77','76','91']""42","['79','84','78','97','89','88']"
"44","['77','78','73','89','95','73','90','84']""27","['72','80','93','71','98','83','74','90','89','87']"
"41","['77','71','90','88','76','79','91','97','81','78']""39","['82','72','72','91','90','92','88']"
"40","['78','98','77','96','71','81','99','90','83']""38","['82','86','87','98','73','74','91','79']"
"20","['93','89','77','92','81','80','94']""17","['85','82','90','91','75','99','77','74']"
"36","['86','77','74','93','80','98','72','96']""37","['77','96','75','80','100','100','98','88','85','97']"
"35","['78','99','88','96','85','76','86','92','84']""34","['86','93','89','100','88','91','83','79','77','75']"
"33","['76','76','97','80','77','98','88']""32","['85','90','92','91','75','72']"
"15","['76','79','81','98','97','75','94','90','89']""30","['87','83','75','76','74','81']"
"29","['91','83','74','88','98','97','95']""26","['77','76','97','74','87','86']"
"28","['71','80','78','76','84','88','94','91','93','96']""31","['84','99','93','83','72','73','96','75','76']"
"25","['81','75','93','92','83','98','78']""24","['75','98','71','96','85','79','78','75']"
"23","['77','73','95','88','79','100','93','84','83','80']""22","['96','91','86','83','74','95','87','75','72','100']"
"21","['76','72','77','75','99','96','82','78','86','77']""18","['80','93','72','74','77','94']"
"19","['81','76','79','84','92','98']""16","['81','92','99','96','71','83']"
"14","['84','89','88','82','82','72','100']""13","['72','99','73','87','78','94','81','79']"
"69","['77','95','73','93','100','84','71','87','72']""70","['79','89','75','74','98','92','81','90']"
"68","['84','92','75','96','94','90','77','95']""67","['78','89','94','79','93','85','97','80','77','74']"
"65","['82','89','80','71','91','97','95']""66","['74','87','85','95','83','78','99','91']"
"64","['78','100','73','95','79','98','96']""63","['97','90','73','91','74','84','78','73','98']"
"61","['87','98','81','93','82','73','91']""62","['81','85','100','75','79','96']"
"60","['92','73','83','87','76','86','77','100','94']""58","['71','96','73','77','94','94','76','72']"
"59","['97','77','79','100','90','92','82']""57","['79','78','76','72','97','98','82','82','83','73']"
"55","['94','74','99','72','94','76','93']""56","['77','98','95','94','84','80']"
"54","['85','73','87','71','95','90','97','92']""53","['86','100','99','79','99','81','85','76','74']"
"52","['81','76','90','85','79','99','84']""50","['82','81','78','100','91','79','96','97','94','89']"
"51","['78','96','90','75','86','83','88','85']""49","['85','79','87','84','80','80','81','75']"
"48","['75','92','76','87','72','88','100','96']""47","['78','95','96','92','91','83','87','82','81']"
"45","['71','94','100','90','74','89','78','77']""46","['76','98','85','71','75','72','99','81','77']"
"43","['77','76','91','88']""44","['77','73','89','95','73','90','84','78']"
"42","['84','78','97','89','88','79']""41","['71','90','88','76','79','91','97','81','78','77']"
"40","['78','77','96','71','81','99','90','83','98']""39","['72','72','91','90','92','88','82']"
"36","['77','74','93','80','98','72','96','86']""38","['86','87','98','73','74','91','79','82']"
"37","['77','75','80','100','100','98','88','85','97','96']""35","['99','88','96','85','76','86','92','84','78']"
"33","['76','97','80','77','98','88','76']""32","['85','90','91','75','72','92']"
"34","['93','89','100','88','91','83','79','77','75','86']""31","['99','93','83','72','73','96','75','76','84']"
"21","['76','72','75','99','96','82','78','86','77','77']""30","['83','75','76','74','81','87']"
"29","['83','74','88','98','97','95','91']""15","['76','81','98','97','75','94','90','89','79']"
"27","['80','93','71','98','83','74','90','89','87','72']""11","['82','85','74','91','97','90','85']"
"28","['71','78','76','84','88','94','91','93','96','80']""26","['76','97','74','87','86','77']"
"25","['75','93','92','83','98','78','81']""24","['98','71','96','85','79','78','75','75']"
"7","['100','82','79','89','92','85','78','76','75','75']""23","['73','95','88','79','100','93','84','83','80','77']"
"20","['89','77','92','81','80','94','93']""22","['91','86','83','74','95','87','75','72','100','96']"
"18","['80','72','74','77','94','93']""16","['81','92','96','71','83','99']"
"17","['82','90','91','75','99','77','74','85']""19","['81','76','79','92','98','84']"
"13","['99','73','87','78','94','81','79','72']""14","['84','88','82','82','72','100','89']"
"12","['87','74','98','81','77','82','86','75','93','91']""9","['100','85','93','92','88','81','76','87']"
"10","['95','87','77','72','74','73']""5","['73','74','91','77','82','71','87','83','78','76']"
"6","['92','74','90','99','76','91','88']""8","['90','96','95','89','87','72','71','77','84']"
"4","['72','93','77','75','73','90','76','98','96','74']""2","['85','78','75','71','86','94']"
"3","['80','76','72','78','94','96','92','100']""1","['100','71','73','82','99','93','92','86']"
"70","['79','75','74','98','92','81','90','89']""69","['77','73','93','100','84','71','87','72','95']"
"68","['84','75','96','94','90','77','95','92']""67","['78','89','79','93','85','97','80','77','74','94']"
"66","['87','91','98','81','82','74']""65","['82','80','71','91','97','95','89']"
"64","['100','73','95','79','98','96','78']""63","['91','84','78','96','87','75','90']"
"62","['81','96','80','72','82','77','83','73','85']""61","['87','81','93','82','73','91','98']"
"60","['73','83','87','76','86','77','100','94','92']""59","['95','100','81','81','96']"
"58","['96','73','77','94','94','76','72','71']""57","['78','76','72','97','98','82','82','83','73','79']"
"56","['98','95','94','84','80','77']""54","['73','87','71','95','90','97','92','85']"
"55","['94','74','72','94','76','93','99']""52","['76','90','85','79','99','84','78','88','73','81']"
"53","['100','99','79','99','81','85','76','74','86']""49","['80','75','95','100','96','76','80']"
"50","['81','100','79','89','74','83','77','72','99','82']""51","['96','90','75','86','83','88','85','78']"
"39","['72','91','90','92','88','82','72']""46","['98','85','71','75','72','99','81','77','76']"
"48","['92','76','87','72','88','100','96','75']""44","['73','89','95','73','90','84','78','77']"
"45","['94','100','90','74','89','78','77','71']""47","['95','96','92','91','83','87','82','81','78']"
"41","['78','99','85','86','88','98','80','88','71']""42","['84','78','89','88','79','97']"
"43","['76','91','88','95','81','94','82','98','77']""40","['77','96','71','81','99','90','83','98','78']"
"37","['77','75','100','100','98','88','85','97','96','80']""36","['74','80','75','79','91','77']"
"34","['89','100','88','91','83','79','77','75','86','93']""33","['97','80','77','98','88','76','76']"
"35","['88','96','85','76','86','92','84','78','99']""32","['98','89','86','87','97','91']"
"38","['88','90','77','95','74']""29","['89','80','78','77','100','77','99']"
"30","['75','76','74','81','87','90','86','96','93','83']""31","['93','83','72','73','96','75','76','84','99']"
"21","['72','75','99','96','82','78','86','77','77','76']""28","['76','84','96','80','73','90','77','85','78']"
"19","['76','79','92','98','84','81']""27","['93','71','98','83','74','90','89','87','72','80']"
"18","['84','97','90','83','71','72']""26","['76','74','87','86','77','97']"
"17","['75','85','93','72','81','97','84','90']""25","['93','92','83','98','78','81','75']"
"23","['95','88','79','100','93','84','83','80','77','73']""24","['71','96','85','79','78','75','75','98']"
"16","['81','92','71','83','99','96']""22","['86','83','74','95','87','75','72','100','96','91']"
"20","['89','77','81','80','94','93','92']""14","['84','82','82','72','100','89','88']"
"15","['81','98','97','75','94','90','89','79','76']""13","['73','87','78','94','81','79','72','99']"
"12","['74','98','81','77','82','86','75','93','91','87']""11","['82','74','91','97','90','85','85']"
"9","['85','93','92','88','81','76','87','100']""10","['87','77','72','74','73','94','88','82','95']"
"8","['90','95','89','87','72','71','77','84','96']""7","['82','79','89','92','85','78','76','75','75','100']"
"6","['74','90','99','76','91','88','95','71','87','92']""5","['77','82','78','76','86','88','100','73']"
"2","['78','75','71','86','94','85']""3","['76','72','78','94','96','92','100','80']"
"4","['93','77','75','73','90','76','98','96','74','72']""1","['92','86','96','89','72','71']"
"69","['73','93','100','84','71','87','72','95','77']""70","['75','74','98','92','81','90','89','79']"
"68","['94','90','72','71','83','74','79','84']""67","['78','89','79','85','97','80','77','74','94','93']"
"66","['91','98','81','82','74','87']""65","['80','71','91','97','95','89','82']"
"63","['84','78','96','87','75','90','91']""64","['100','95','79','98','96','78','83','75','73']"
"62","['96','80','72','82','77','83','73','85','81']""61","['91','89','78','80','71','73']"
"60","['83','87','76','86','77','100','94','92','73']""59","['100','81','81','96','95']"
"58","['73','77','94','94','76','72','71','96']""57","['76','72','97','98','82','82','83','73','79','78']"
"56","['95','94','84','80','77','98']""55","['74','72','94','76','93','99','94']"
"54","['87','71','95','90','97','92','85','73']""53","['81','76','74','86','80','82','96','99']"
"52","['90','85','79','99','84','78','88','73','81','76']""51","['90','75','86','83','88','85','78','96']"
"50","['79','77','72','99','94','98','81']""49","['75','95','100','96','76','80','80']"
"48","['76','87','72','88','100','96','75','92']""47","['91','82','78','79','86','92']"
"45","['100','90','74','89','78','77','71','94']""44","['73','89','73','90','84','78','77','95']"
"46","['85','75','81','74','100','99']""43","['88','98','77','92','75','79','80','91']"
"42","['78','89','88','79','97','84']""41","['99','85','86','88','98','80','88','71','78']"
"40","['77','96','71','81','90','83','98','78','99']""39","['95','71','97','99','88']"
"38","['88','90','77','74','94','86','80','89','95']""37","['75','100','100','98','88','85','97','96','80','77']"
"36","['74','75','79','91','77','80']""35","['94','82','95','84']"
"34","['100','83','77','86','94','73','85','88']""33","['80','77','98','88','76','76','97']"
"32","['89','86','87','97','91','98']""9","['93','92','88','81','76','87','100','85']"
"5","['77','78','76','86','88','100','73','82']""31","['93','83','72','73','75','76','84','99','96']"
"4","['77','75','73','90','76','98','96','74','72','93']""30","['76','74','81','87','90','86','96','93','83','75']"
"29","['80','78','77','100','77','99','89']""28","['84','96','80','73','90','77','85','78','76']"
"27","['71','90','72','80','85','73','93']""26","['76','74','86','77','97','75','94','73','87']"
"25","['92','83','98','78','81','75','93']""23","['88','79','100','93','84','83','80','77','73','95']"
"24","['96','85','79','78','75','75','98','71']""20","['77','81','80','94','93','92','89']"
"22","['83','74','95','72','80','92','97','91']""19","['76','92','98','84','81','79']"
"21","['75','99','96','82','78','86','77','77','76','72']""18","['84','90','83','71','72','81','73','80','81','97']"
"17","['72','84','88','76','89','85']""16","['81','71','83','99','96','79','90','72','76','92']"
"15","['81','97','75','94','90','89','79','76','98']""14","['82','82','72','100','89','88','84']"
"13","['73','87','78','81','79','72','99','94']""11","['97','94','88','92','78','91']"
"12","['98','81','77','82','86','75','93','91','87','74']""10","['77','72','74','73','94','88','82','95','87']"
"7","['79','89','92','85','78','76','75','75','100','82']""8","['90','89','87','72','71','77','84','96','95']"
"6","['90','99','95','92','78','100','74']""3","['72','78','94','96','92','100','80','76']"
"2","['75','71','86','94','85','78']""1","['86','96','89','72','71','93','75','77','92']"
"68","['74','79','78','95','100','98','94']""70","['75','79','87','84','95','93','81']"
"69","['93','100','84','71','87','72','95','77','73']""67","['79','85','97','93','100','87','83','76','89']"
"66","['100','71','86','75','90','82']""65","['82','74','72','96','94','87','91']"
"64","['98','78','83','90','74','81','85','100']""61","['89','78','80','71','73','91']"
"63","['78','96','87','75','90','91','83','93','100','84']""62","['80','72','82','77','83','73','85','81','96']"
"60","['83','86','94','71','98','87']""59","['100','81','96','95','98','86','79','91','81']"
"58","['73','77','94','76','72','71','96','94']""57","['97','98','82','79','78','87','80','88','76']"
"55","['92','87','91','97']""56","['71','83','85','86','96','98']"
"53","['74','82','72','98','95','83','81']""33","['77','98','88','76','76','97','80']"
"54","['71','95','90','97','92','85','73','87']""52","['85','79','99','84','78','88','73','81','76','90']"
"51","['100','77','84','93','73','96']""50","['95','100','87','78','71','98']"
"49","['75','95','100','76','80','80','96']""48","['76','87','72','100','96','75','92','88']"
"47","['82','78','79','86','92','91']""46","['82','80','97','98','72','81']"
"45","['100','74','89','78','77','71','94','90']""43","['88','77','92','75','79','80','91','98']"
"44","['73','73','90','84','78','77','95','89']""42","['89','88','79','97','84','72','74','91','99','78']"
"40","['77','71','81','90','83','98','78','99','96']""36","['75','79','91','77','80','74']"
"38","['88','77','74','94','86','80','89','95','90']""34","['81','77','76','74','82']"
"41","['86','80','78','94','76','77','88']""35","['94','82','84','95']"
"37","['100','100','98','88','85','97','96','80','77','75']""39","['95','71','97','88','99']"
"32","['89','86','87','91','98','97']""31","['83','72','73','75','76','84','99','96','93']"
"30","['74','81','87','90','86','96','93','83','75','76']""29","['78','77','100','77','99','89','80']"
"27","['90','72','80','85','73','93','71']""28","['96','80','73','90','77','85','78','76','84']"
"26","['74','86','77','97','75','94','73','87','76']""25","['83','98','78','81','75','93','92']"
"24","['78','71','88','80','81','74','79']""22","['74','95','72','80','92','97','91','83']"
"23","['88','79','100','84','83','80','77','73','95','93']""21","['99','96','82','78','86','77','77','76','72','75']"
"20","['77','80','94','93','92','89','81']""19","['72','75','94','88','80','92']"
"18","['84','83','71','72','81','73','80','81','97','90']""17","['72','88','76','89','85','84']"
"16","['71','83','99','96','79','90','72','76','92','81']""15","['81','94','76','73','86','84','83','85','97']"
"14","['82','72','100','89','88','84','82']""13","['73','78','81','79','72','99','94','87']"
"12","['81','77','82','86','75','93','91','87','74','98']""11","['94','88','92','78','91','97']"
"10","['72','74','73','94','88','82','95','87','77']""9","['76','85','80','75','78','77','81']"
"8","['89','87','72','71','77','84','96','95','90']""6","['99','95','92','78','100','74','90']"
"7","['92','76','75','75','99','96','86','79']""5","['78','76','86','88','100','73','82','77']"
"3","['78','94','96','92','100','80','76','72']""4","['77','75','73','76','98','96','74','72','93','90']"
"2","['71','86','94','85','78','75']""1","['86','89','72','71','93','75','77','92','96']"
"69","['84','72','77','74','75','96','78','93']""70","['79','87','84','95','93','81','75']"
"68","['75','100','90','80','88','97']""67","['93','87','76','94','99','90','97']"
"65","['82','74','72','94','87','91','81','71','96']""66","['100','71','86','75','82','90']"
"64","['78','83','90','74','81','85','100','98']""63","['96','87','75','90','91','83','93','100','84','78']"
"60","['83','94','71','98','87','86']""62","['80','72','82','77','73','85','81','96','83']"
"61","['78','80','71','73','91','87','82','76','89']""58","['73','94','76','72','71','96','94','77']"
"59","['100','96','95','98','86','79','91','81','81']""48","['76','72','100','96','75','92','88','87']"
"42","['88','79','97','84','72','74','91','99','78','89']""57","['97','82','79','78','87','80','88','76','98']"
"38","['86','80','95','85','91','84','99','88']""55","['87','91','97','98','71','72','88','82','92']"
"56","['71','83','85','86','98','96']""35","['82','84','95','94']"
"53","['81','71','100','80','73','95']""54","['95','90','97','92','85','73','87','71']"
"32","['86','87','91','98','97','89']""51","['100','77','84','73','96','93']"
"52","['79','99','84','78','88','73','81','76','90','85']""47","['78','79','86','92','91','82']"
"45","['100','74','78','77','71','94','90','89']""50","['100','87','78','71','98','95']"
"39","['95','71','88','99','97']""43","['77','91','87','99','97','86','72','88']"
"49","['75','100','76','80','80','96','95']""36","['75','79','77','80','74','91']"
"33","['84','92','83','91','77']""46","['82','80','97','72','81','98']"
"41","['80','78','94','76','77','88','86']""40","['77','83','99','84','88','75','81']"
"37","['85','92','82','79','96','98']""34","['77','76','74','82','81']"
"31","['87','82','72','77','77','88']""44","['73','90','84','78','77','95','89','73']"
"27","['85','86','74','98','79','72']""29","['77','100','77','99','89','80','78']"
"30","['81','87','90','86','96','93','83','75','76','74']""28","['80','73','90','77','85','78','76','84','96']"
"24","['71','88','80','81','74','79','78']""26","['86','77','97','75','94','73','87','76','74']"
"25","['98','78','81','75','93','92','83']""22","['95','72','80','92','97','91','83','74']"
