"ID","Table"
"13","['73','81','70','42','25','32']""14","['74','78','58','32','25','85','98','80']"
"11","['20','84','72','69','80','97','10','70']""12","['11','23','58','17','66','65','27','61','98','94']"
"10","['42','85','18','100','83','51','62','91','25','45']""8","['33','94','73','27','56','60','50','90','77','99']"
"9","['18','31','64','78','76','86','86','81','87','99']""7","['76','29','70','1','21','69','83','77','98']"
"5","['100','20','65','76','93','12']""6","['40','84','20','93','44','12','81','66','95','1']"
"3","['100','8','87','94','11','33','61','9']""4","['53','78','23','70','26','33','90','74','72','94']"
"2","['75','51','87','4','5','96']""1","['63','6','42','29','41','5','50','97','94','64']"
"70","['35','6','49','20','80','11','97']""68","['40','52','60','31','46','81']"
"69","['73','2','91','4','38','99','88','68','97']""67","['76','80','75','30','19','24','32','12','77','94']"
"65","['81','79','72','7']""66","['32','73','80','99','97','93','89','75','72']"
"64","['83','86','96','63','6','42','1','52']""63","['29','73','47','88','78']"
"62","['79','76','21','41','60','78','99','31','84']""61","['99','25','35','33','76','80','77','92','82']"
"60","['74','77','17','35','93','100','32','64']""59","['2','71','30','89','90','75','72','93','85']"
"58","['37','90','83','94','22','60','19','81','93','88']""57","['48','92','81','39','35','72','44','94']"
"56","['93','79','99','73','76','97','94']""54","['50','81','83','73','81','88','88','17','82','85']"
"53","['60','30','25','97','85','26','90','78','33','89']""55","['19','37','96','46','93','59','97','85','78','26']"
"52","['74','90','87','83','6','1','64','92']""50","['10','6','80','95','94','90','87','74','96']"
"48","['90','91','79','88','88','76','42','95']""51","['29','77','93','87','33','36','24','72']"
"38","['72','79','80','71','69','75','99','20','94']""46","['28','82','90','89','96','98','88','39']"
"49","['70','81','41','100','74','85','17','89']""35","['77','79','97','83','80','82','91','70','88','85']"
"47","['80','81','38','73','46','55','39','100','71','88']""44","['25','29','16','60','99','82','86','79','88','68']"
"32","['87','82','91','39','42','81','25','70','13','95']""45","['32','25','52','83','42','85','10','55']"
"43","['68','22','70','3','4','97','80','71','99','82']""42","['72','48','77','94','54','34','75','93']"
"39","['75','96','87','78']""41","['73','99','70','66','87','95','82','89','80']"
"37","['57','19','71','100','72','98','94','77']""36","['84','87','81','89','83','77','94','11','16','98']"
"34","['74','90','100','98','72','87','92']""40","['90','64','76','78','99','87','88','89','72','94']"
"33","['73','32','76','98','90','88','97']""31","['73','95','52','65','82','68','21','15','77']"
"30","['77','67','97','99','75','91','93']""20","['88','4','12','38','100','33','47','76','92','85']"
"29","['93','4','94','90','33','74','72','3','47','31']""16","['81','99','80','44','53','87','83','98','89','79']"
"11","['84','72','69','70','88','99','95','5','80','20']""28","['79','50','75','91','76','94','97','81','93']"
"23","['61','96','92','89','73','87','38','19']""27","['18','37','11','72','95','78','60','81','74','58']"
"7","['1','83','77','72','79','81','65','69']""15","['78','58','83','71','86','60','84','93','76','99']"
"26","['24','9','59','93','96','55','32']""2","['75','51','4','5','96','87']"
"10","['18','100','51','62','91','32','55','52','42','83']""25","['11','57','69','48','86','13']"
"18","['75','50','74','45','78','84','95','55','82','93']""12","['94','80','97','86','76','20','93','100','5','98']"
"6","['40','20','12','81','1','94','42','71','75','84']""24","['96','94','44','85','100','26','8','88']"
"8","['33','90','77','99','71','61','30','17','60']""4","['53','78','23','26','3','47','31','86','29','70']"
"1","['41','84','89','76','66','95','93','44','85','5']""22","['68','33','55','100','42','58','93','87']"
"13","['73','70','42','25','32','99','96','76','89','81']""21","['93','87','98','80','58','95']"
"5","['100','20','65','76','12','58','92','79','17','93']""19","['57','43','33','23','96','52','86','89','80','58']"
"17","['12','25','93','54','87','50','73','56','27','26']""14","['74','58','32','25','85','98','80','78']"
"3","['11','88','95','74','91','82','40','100']""9","['18','86','89','94','33','8','61','3','31']"
"70","['49','78','86','26','4','6']""69","['2','88','68','81','1','65','83','7','91']"
"68","['52','31','29','25','85','80','86','73','60']""66","['81','74','85','86']"
"67","['76','75','30','19','24','32','12','77','94','80']""65","['79','72','7','98','29','76','70','21','81']"
"64","['52','75','68','91','74','35','93','77','60','83']""61","['99','25','35','76','80','77','92','82','33']"
"60","['17','32','64','63','77','71','99','8','74']""62","['76','21','41','60','78','99','31','84','79']"
"59","['2','71','30','89','75','72','93','85','90']""58","['60','11','72','43','89','86','19','90']"
"63","['29','47','88','78','73']""56","['93','79','73','76','97','94','99']"
"48","['91','79','88','88','76','42','95','90']""57","['48','81','39','35','72','44','94','92']"
"45","['95','84','97','94','36','26','10']""44","['16','60','86','79','88','46','81','31','40','99']"
"55","['37','46','78','99','42','32','83','45','19']""42","['48','54','99','87','74','71','91','77']"
"54","['50','81','73','81','88','88','17','82','85','83']""53","['60','30','25','97','26','90','78','33','89','85']"
"52","['83','92','99','85','77','75','77','90']""51","['77','93','87','33','36','24','72','29']"
"40","['64','76','78','99','87','88','89','72','94','90']""50","['6','94','87','76','85','97','86','95']"
"49","['41','89','83','80','95','76','82','81']""47","['38','89','95','78','84','86','76','73']"
"46","['28','82','90','89','75','87','78','96','88','39']""43","['68','22','3','4','97','80','71','99','82','70']"
"41","['99','70','66','87','95','82','89','80','73']""39","['96','87','78','88','98','46','75']"
"38","['71','69','20','97','88','90','92','84','79']""37","['19','71','78','92','75','80','72']"
"35","['92','73','95','75','96']""36","['81','83','77','11','100','71','99','84']"
"34","['100','91','81','86','89','72']""33","['88','97','96','77','92','82','61','73']"
"32","['82','42','25','13','9','55','93','24','26','91']""31","['21','3','4','89','8','9','95']"
"21","['79','77','99','92','74','93']""30","['67','97','99','75','91','93','77']"
"28","['50','75','91','76','94','97','81','93','79']""29","['94','90','33','74','31','52','77','15','65','47']"
"27","['78','60','81','74','58','88','22','93','19','95']""26","['87','39','81','70','50','27','93','17','9']"
"25","['11','57','69','48','13','96','70','81','73','86']""24","['94','44','85','100','26','8','88','96']"
"22","['33','55','100','42','58','93','87','68']""23","['19','71','76','75','81','71','57','87']"
"5","['20','58','92','79','84','85','1','65']""19","['33','92','37','99','78','32','55','52']"
"20","['4','33','47','76','70','95','11','88']""4","['23','3','47','31','29','97','11','20','80','53']"
